+-------------+----------+-----------+-----------+--------------------------------------------------------------------------------------------------------------------------------------------+
|  Component  |     $USD |      $CAD |    Site   | Name                                                                                                                                       |
|    Memory   |   $118.0 |  * $165.0 |    NCIX   | Kingston 16GB 2X8GB 2133MHZ DDR3 NON-ECC CL11 DIMM XMP Predator Series                                                                     |
|    Memory   |   $179.0 |  * $249.0 |    NCIX   | Kingston HyperX Predator T2 16GB 4X4GB Kits DDR4-2400MHZ Non-ECC CL12 DIMM XMP Quad Channel Memory                                         |
|    Memory   |   $180.0 |  * $251.0 |    NCIX   | Kingston KVR1333D3E9SK2/16G 16GB 2X8GB Kits DDR3-1333 CL9 DIMM ECC Dual Channel Memory                                                     |
|    Memory   |   $276.0 |  * $384.0 |    NCIX   | Kingston HyperX Predator T2 16GB 4X4GB Kits DDR4-2666MHZ Non-ECC CL13 DIMM XMP Quad Channel Memory                                         |
|    Memory   |   $211.0 |  * $294.0 |    NCIX   | Kingston 16GB 1333MHz DDR3 Non-ECC CL9 DIMM (Kit of 2) HyperX Blu                                                                          |
|    Memory   |   $181.0 |  * $252.0 |    NCIX   | Kingston KVR13LR9D4/16 16GB DDR3-1333 CL9 1.35V DIMM ECC Reg Single Channel Memory                                                         |
|    Memory   |   $121.0 |  * $169.0 |   Newegg  | SAMSUNG 16GB 288-Pin DDR4 SDRAM ECC Registered DDR4 2133 (PC4 17000) Server Memory Model M393A2G40DB0-CPB                                  |
|    Memory   |   $114.0 |  * $159.0 |   Newegg  | Crucial 16GB (2 x 8GB) 240-Pin DDR3 SDRAM ECC Unbuffered DDR3 1600 (PC3 12800) Server Memory Model CT2KIT102472BD160B                      |
|    Memory   |   $114.0 |  * $159.0 |   Newegg  | Kingston 16GB 288-Pin DDR4 SDRAM ECC Registered DDR4 2133 (PC4 17000) Server Memory Model KVR21R15D4/16                                    |
|    Memory   |   $114.0 |  * $159.0 |   Newegg  | Kingston 16GB 240-Pin DDR3 SDRAM ECC Registered DDR3 1600 Server Memory DR x4 Model KVR16R11D4/16                                          |
|    Memory   |   $135.0 |  * $189.0 |   Newegg  | Crucial 16GB (2 x 8GB) 240-Pin DDR3 SDRAM ECC Unbuffered DDR3 1600 (PC3 12800) Server Memory Model CT2KIT102472BA160B                      |
|    Memory   |   $286.0 |  * $399.0 |   Newegg  | Crucial 16GB (2 x 8GB) 288-Pin DDR4 SDRAM ECC DDR4 2133 (PC4 17000) Server Memory Model CT2K8G4RFS4213                                     |
|    Memory   |   $126.0 |  * $176.0 |   Newegg  | Crucial 16GB 288-Pin DDR4 SDRAM ECC Registered DDR4 2133 (PC4 17000) Server Memory Model CT16G4RFD4213                                     |
|    Memory   |   $112.0 |  * $157.0 |   Newegg  | Kingston 16GB 240-Pin DDR3 SDRAM ECC Registered DDR3 1333 Server Memory DR x4 w/TS Model KVR13R9D4/16                                      |
|    Memory   |   $128.0 |  * $179.0 |   Newegg  | Kingston 16GB (4 x 4GB) 240-Pin DDR3 SDRAM ECC Registered DDR3 1600 (PC3 12800) Server Memory Model KVR16R11S8K4/16I                       |
|    Memory   |   $140.0 |  * $195.0 |   Newegg  | Kingston 16GB 240-Pin DDR3 SDRAM ECC Registered DDR3 1866 (PC3 14900) Server Memory Model KVR18R13D4/16KF                                  |
|    Memory   |   $114.0 |  * $159.0 |   Newegg  | Crucial 16GB 240-Pin DDR3 SDRAM ECC Registered DDR3 1600 (PC3 12800) Server Memory Model CT16G3ERSLD4160B                                  |
|    Memory   |   $200.0 |  * $279.0 |   Newegg  | Kingston 16GB 288-Pin DDR4 SDRAM ECC Registered DDR4 2133 (PC4 17000) Server Memory Model KTL-TS421/16G                                    |
|    Memory   |   $165.0 |  * $231.0 |   Newegg  | Kingston 16GB 240-Pin DDR3 SDRAM ECC Registered DDR3 1600 (PC3 12800) Low Voltage Server Memory Model KTL-TS316LV/16G                      |
|    Memory   |   $114.0 |  * $159.0 |   Newegg  | Crucial 16GB 240-Pin DDR3 SDRAM ECC Registered DDR3 1600 (PC3 12800) Server Memory Model CT204872BB160B                                    |
|    Memory   |   $110.0 |  * $154.0 |   Newegg  | Kingston ValueRAM 16GB 240-Pin DDR3 SDRAM ECC Registered DDR3 1600 Server Memory (Intel Validated ) Model KVR16R11D4/16I                   |
|    Memory   |   $121.0 |  * $169.0 |   Newegg  | Kingston 16GB ECC Registered DDR3 1600 (PC3 12800) Server Memory Model KVR16R11D4/16HB                                                     |
|    Memory   |    $96.0 |  * $134.0 |   Newegg  | Mushkin Enhanced Proline 16GB (2 x 8GB) 240-Pin DDR3 UDIMM ECC DDR3 1333 (PC3 10600) Server Memory Model 997044                            |
|    Memory   |   $136.0 |  * $190.0 |   Newegg  | Crucial 16GB (2x8GB) 240-Pin DDR3 1600 (PC3 12800) Server Memory Model CT2KIT102472BB160B                                                  |
|    Memory   |   $142.0 |  * $199.0 |   Newegg  | Kingston 16GB ECC Registered DDR3L 1600 Server Memory Model KVR16LR11D4/16HB                                                               |
|    Memory   |   $135.0 |  * $189.0 |   Newegg  | Kingston 16GB 240-Pin DDR3 SDRAM System Specific Memory                                                                                    |
|    Memory   |   $164.0 |  * $229.0 |   Newegg  | Crucial 16GB 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Memory For Mac Pro Systems Model CT16G3R186DM                                        |
|    Memory   |   $150.0 |  * $209.0 |   Newegg  | Mushkin Enhanced 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Memory for Apple Model 977136A                                    |
|    Memory   |   $606.0 |  * $845.0 |   Newegg  | Axiom 16GB (2 x 8GB) 240-Pin DDR2 SDRAM ECC ECC Chipkill Registered DDR2 667 (PC2 5300) Server Memory Model 43V7356-AXA                    |
|    Memory   |   $156.0 |  * $218.0 |   Newegg  | KINGSTON KTH-PL316-16G 16GB 1600MHZ REG ECC MODULE                                                                                         |
|    Memory   |   $187.0 |  * $261.0 |   Newegg  | Kingston 16GB 240-Pin DDR3 1866 ECC Registered Memory KTL-TS318/16G                                                                        |
|    Memory   |   $182.0 |  * $254.0 |   Newegg  | Kingston 16GB DDR3 1600 ECC Registered System Specific Memory Model KTD-PE316/16G                                                          |
|    Memory   |   $173.0 |  * $242.0 |   Newegg  | Kingston 16GB DDR3 1600 ECC Registered System Specific Memory Model KTL-TS316/16G                                                          |
|    Memory   |   $121.0 |  * $169.0 |   Newegg  | Kingston 16GB System Specific Memory                                                                                                       |
|    Memory   |   $184.0 |  * $257.0 |   Newegg  | Kingston 16GB DDR3 1600 ECC Registered System Specific Memory Model KFJ-PM316/16G                                                          |
|    Memory   |   $114.0 |  * $159.0 |   Newegg  | Kingston 16GB ECC Registered DDR3 1600 (PC3 12800) Server Memory Model KTH-PL316LV/16G                                                     |
|    Memory   |   $119.0 |  * $165.0 | amazon.ca | Crucial 16GB Kit (8GBx2) DDR3L 1600MT/s (PC3-12800) DR x8 ECC UDIMM 240-Pin Server Memory CT2KIT102472BD160B                               |
|    Memory   |   $233.0 |  * $325.0 | amazon.ca | Crucial 32GB Kit (16GBx2) DDR4 2133 MT/s (PC4-2133) CL15 DR x4 ECC Registered DIMM 288-Pin Server Memory CT2K16G4RFD4213                   |
|    Memory   |   $112.0 |  * $156.0 | amazon.ca | Kingston HyperX FURY Memory Black - 16GB Kit (2x8GB) - DDR4 2133MHz - 16 GB (2 x 8 GB) - DDR4 SDRAM - 2133 MHz...                          |
|    Memory   |   $121.0 |  * $168.0 | amazon.ca | Crucial 16GB Single DDR4 2133 MT/s (PC4-2133) CL15 DR x4 ECC Registered DIMM 288-Pin Server Memory CT16G4RFD4213                           |
|    Memory   |   $530.0 |  * $739.0 | amazon.ca | Crucial 64GB Kit (16GBx4) DDR4 2133 MT/s (PC4-2133) CL15 DR x4 ECC Registered DIMM 288-Pin Server Memory CT4K16G4RFD4213                   |
|    Memory   |   $157.0 |  * $219.0 | amazon.ca | HP 16GB 2Rx4 PC3L-10600R-9 Kit - 16 GB (1 x 16 GB) - DDR3 SDRAM - 1333 MHz DDR3-1333/PC3-10600 - ECC - Registered...                       |
|    Memory   |   $153.0 |  * $213.0 | amazon.ca | 16gb 1333mhz Reg Ecc Low Voltage Module                                                                                                    |
|    Memory   |   $145.0 |  * $202.0 | amazon.ca | 16gb 1333mhz Ddr3 Ecc Cl9 Dimm Kit 2                                                                                                       |
|    Memory   |   $136.0 |  * $189.0 | amazon.ca | Komputerbay 16GB (4x 4GB) DDR2 PC2-6400F 800MHz ECC Fully Buffered FB-DIMM (240 PIN) 16 GB w/ MAC Heatspreaders...                         |
|    Memory   |    $92.0 |  * $128.0 | amazon.ca | 16GB (4X4GB) NEMIX RAM Memory for APPLE MAC PRO 2006-2007 MA356LL/A - A1186 - DDR2 667MHz ECC FB DIMM                                      |
|    Memory   |   $123.0 |  * $171.0 | amazon.ca | 16gb 1600mhz Ddr3 Ecc Reg Cl11 Dimm Dr X4                                                                                                  |
